Country,State,Year,City,"Pradhan Mantri Awas Yojana (Pmay) Investment Amount (UOM:INR(IndianRupees)), Scaling Factor:10000000","Pradhan Mantri Awas Yojana (Pmay) Central Assistance Sanctioned (UOM:INR(IndianRupees)), Scaling Factor:10000000","Pradhan Mantri Awas Yojana (Pmay) Central Assistance Released (UOM:INR(IndianRupees)), Scaling Factor:10000000","Pradhan Mantri Awas Yojana (Pmay) Houses Sanctioned (UOM:Number), Scaling Factor:1","Pradhan Mantri Awas Yojana (Pmay) Houses Grounded (UOM:Number), Scaling Factor:1","Pradhan Mantri Awas Yojana (Pmay) Houses Completed (UOM:Number), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2025","Port Blair, Municipality",95.8300000000000000,5.8400000000000000,2.9300000000000000,376.0000000000000000,376.0000000000000000,151.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Addanki, Municipality",194.4100000000000000,66.5300000000000000,34.0200000000000000,4388.0000000000000000,3228.0000000000000000,2173.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Adoni, Municipality",701.2400000000000000,220.5600000000000000,129.2000000000000000,14605.0000000000000000,11305.0000000000000000,9405.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Akiveedu, Town Panchayat",42.8600000000000000,17.2200000000000000,9.7700000000000000,1136.0000000000000000,963.0000000000000000,579.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Allagadda, Municipality",202.9500000000000000,53.7400000000000000,45.3200000000000000,3537.0000000000000000,3454.0000000000000000,3266.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Alluru, Town Panchayat",45.4700000000000000,17.2700000000000000,6.9100000000000000,1151.0000000000000000,1012.0000000000000000,384.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Amadalavalasa, Municipality",219.7600000000000000,81.4500000000000000,53.7700000000000000,5399.0000000000000000,4343.0000000000000000,3139.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025",Amalapuram Development Authority,112.7600000000000000,49.2400000000000000,44.4300000000000000,3283.0000000000000000,3283.0000000000000000,2183.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Amalapuram, Municipality",205.6500000000000000,57.3900000000000000,31.5200000000000000,3731.0000000000000000,2747.0000000000000000,2147.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Anakapalle, Municipal Corporation",102.9300000000000000,29.7800000000000000,15.5000000000000000,1815.0000000000000000,1485.0000000000000000,996.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Anantapur, Municipal Corporation",944.9300000000000000,298.7000000000000000,320.7600000000000000,19462.0000000000000000,18358.0000000000000000,7298.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025",Anantapur-Hindupur Development Authority,2197.3300000000000000,892.5000000000000000,657.9900000000000000,59497.000000000000,58829.000000000000,31843.000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025",Andhra Pradesh Capital Region Development,4221.7400000000000000,1669.9700000000000000,1521.5500000000000000,111154.000000000000,110196.000000000000,49578.000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025",Annamayya Development Authority,1442.4600000000000000,878.6300000000000000,761.6600000000000000,58570.000000000000,58269.000000000000,38242.000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025",Atmakur (Nandyal),151.2100000000000000,59.1800000000000000,39.2800000000000000,3916.0000000000000000,3646.0000000000000000,1939.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025",Atmakur (Nellore),182.0000000000000000,54.5900000000000000,44.6900000000000000,3622.0000000000000000,3370.0000000000000000,2269.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","B Kothakota, Town Panchayat",40.8900000000000000,18.8700000000000000,6.9100000000000000,1258.0000000000000000,1168.0000000000000000,380.0000000000000000
