Feature,Original_Value,Reference_Median,Original_Score,Modified_Score,Score_Change,Absolute_Influence,Anomaly_Index,City
Houses_completed,194423.0,647.0,258.0626543552382,246.85589265498254,11.20676170025564,11.20676170025564,0,Ahmedabad Municipal Corporation
Central_assistance_sanctioned,4349.1,13.48,258.0626543552382,266.183835896212,-8.121181540973794,8.121181540973794,0,Ahmedabad Municipal Corporation
Central_assistance_released,4035.68,10.85,258.0626543552382,265.6736996607468,-7.61104530550864,7.61104530550864,0,Ahmedabad Municipal Corporation
Investment,25327.17,41.66,258.0626543552382,264.32665283851065,-6.2639984832724735,6.2639984832724735,0,Ahmedabad Municipal Corporation
Houses_grounded,205196.0,739.0,258.0626543552382,253.7083331564035,4.354321198834668,4.354321198834668,0,Ahmedabad Municipal Corporation
Houses_sanctioned,207593.0,849.0,258.0626543552382,255.52370234874815,2.5389520064900353,2.5389520064900353,0,Ahmedabad Municipal Corporation
Central_assistance_sanctioned,3635.89,13.48,240.1576118222993,249.53070453648988,-9.37309271419059,9.37309271419059,1,Surat Municipal Corporation
Houses_completed,161225.0,647.0,240.1576118222993,230.80519704712088,9.352414775178403,9.352414775178403,1,Surat Municipal Corporation
Central_assistance_released,3599.23,10.85,240.1576118222993,248.55078359247383,-8.393171770174547,8.393171770174547,1,Surat Municipal Corporation
Investment,19765.68,41.66,240.1576118222993,248.16646541208394,-8.00885358978465,8.00885358978465,1,Surat Municipal Corporation
Houses_grounded,161968.0,739.0,240.1576118222993,238.91493997998214,1.2426718423171508,1.2426718423171508,1,Surat Municipal Corporation
Houses_sanctioned,163486.0,849.0,240.1576118222993,241.11781081475658,-0.9601989924572933,0.9601989924572933,1,Surat Municipal Corporation
Central_assistance_sanctioned,3375.63,13.48,236.60677819187504,246.44578246049687,-9.839004268621835,9.839004268621835,2,Pune Municipal Corporation
Central_assistance_released,3072.19,10.85,236.60677819187504,245.69888559125582,-9.09210739938078,9.09210739938078,2,Pune Municipal Corporation
Houses_completed,148161.0,647.0,236.60677819187504,229.11654459394114,7.490233597933894,7.490233597933894,2,Pune Municipal Corporation
Investment,26124.59,41.66,236.60677819187504,242.17449251051016,-5.567714318635126,5.567714318635126,2,Pune Municipal Corporation
Houses_sanctioned,155747.0,849.0,236.60677819187504,238.32509882207137,-1.718320630196331,1.718320630196331,2,Pune Municipal Corporation
