Anomaly_Rank,City,State,Anomaly_Score,Priority
1,Ahmedabad Municipal Corporation,Gujarat,258.0627,Critical
2,Surat Municipal Corporation,Gujarat,240.1576,Critical
3,Pune Municipal Corporation,Maharashtra,236.6068,Critical
4,Hyderabad Municipal Corporation,Telangana,225.7714,Critical
5,Visakhapattnam Municipal Corporation,Andhra Pradesh,216.6305,Critical
6,Bengaluru Municipal Corporation,Karnataka,211.2625,Critical
7,Greater Mumbai Municipal Corporation,Maharashtra,210.0286,Critical
8,Chennai Municipal Corporation,Tamil Nadu,185.5609,Critical
9,Andhra Pradesh Capital Region Development,Andhra Pradesh,171.7881,Critical
10,Rajkot Municipal Corporation,Gujarat,170.3462,Critical
11,Vadodara Municipal Corporation,Gujarat,170.1661,Critical
12,Jaipur Municipal Corporation Heritage,Rajasthan,166.7458,Critical
13,Visakhapatnam Development Authority,Andhra Pradesh,166.2663,Critical
14,"Thane, Municipal Corporation",Maharashtra,160.1343,Critical
15,Indore Municipal Corporation,Madhya Pradesh,143.1169,Critical
16,Nashik Municipal Corporation,Maharashtra,142.6031,Critical
17,Eluru Development Authority,Andhra Pradesh,131.2524,Critical
18,Ghaziabad Municipal Corporation,Uttar Pradesh,128.8822,Critical
19,"Kalyan-Dombivli, Municipal Corporation",Maharashtra,125.7011,Critical
20,Lucknow Municipal Corporation,Uttar Pradesh,124.1677,Critical
